school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Vintage Math/Science/Technology Magnet,Los Angeles Unified,2017-18,831,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Vista del Valle Dual Language Academy,Los Angeles Unified,2017-18,428,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Vista Middle,Los Angeles Unified,2017-18,1174,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Walter Reed Middle,Los Angeles Unified,2017-18,1584,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Warner Avenue Elementary,Los Angeles Unified,2017-18,652,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Welby Way Charter Elementary And Gifted-High Ability Magnet,Los Angeles Unified,2017-18,816,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 7-8, 2017",2017,2,,Los Angeles
Westwood Charter Elementary,Los Angeles Unified,2017-18,829,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 7-8, 2017",2017,2,1.96473E+13,Los Angeles
Wilbur Charter For Enriched Academics,Los Angeles Unified,2017-18,636,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 7-8, 2017",2017,2,1.96473E+13,Los Angeles
Will Rogers Continuation,Los Angeles Unified,2017-18,146,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
William Mulholland Middle,Los Angeles Unified,2017-18,1381,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Winnetka Avenue Elementary,Los Angeles Unified,2017-18,524,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Woodlake Elementary Community Charter,Los Angeles Unified,2017-18,533,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 7-8, 2017",2017,2,1.96473E+13,Los Angeles
Woodland Hills Academy,Los Angeles Unified,2017-18,694,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Woodland Hills Elementary Charter For Enriched Studies,Los Angeles Unified,2017-18,696,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 7-8, 2017",2017,2,1.96473E+13,Los Angeles
Zane Grey Continuation,Los Angeles Unified,2017-18,76,Wildfires,2017 Southern California Fires,Los Angeles county fires - State of Emergency,"December 6-8, 2017",2017,3,1.96473E+13,Los Angeles
Los Molinos Elementary,Los Molinos Unified,2018-19,269,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 16, 2018",2018,2,5.27157E+13,Tehama
Los Molinos High,Los Molinos Unified,2018-19,211,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 16, 2018",2018,2,5.27157E+13,Tehama
Vina Elementary,Los Molinos Unified,2018-19,75,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 16, 2018",2018,2,5.27157E+13,Tehama
Los Olivos Elementary,Los Olivos Elementary,2017-18,139,Wildfires,2017 Southern California Fires,Thomas Fire-State of Emergency,"December 11-15, 2017",2017,5,4.26925E+13,Santa Barbara
Lucerne Elementary,Lucerne Elementary,2015-16,255,Wildfires,Valley Fire 2015,Valley Fire,"September 14-15, 2015",2015,2,1.76405E+13,Lake
Lucerne Elementary,Lucerne Elementary,2017-18,263,Wildfires,2017 Wine Country Fires,Sulpher Fires in Lake County caused extensive damage,"Closure (October 9, 2017) Material Decrease (October 10, 2017)",2017,1,1.76405E+13,Lake
Lucerne Elementary,Lucerne Elementary,2018-19,253,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,13-Nov-18,2018,1,1.76405E+13,Lake
Lucerne Elementary,Lucerne Elementary,2018-19,253,Wildfires,Ranch Fire 2018,Ranch Fire - Mendocino Complex wildfire - State of Emergency - air quality,"August 15-17 and 20-21, 2018",2018,5,1.76405E+13,Lake
Community Day,Lucerne Valley Unified,2003-04,5,Wildfires,2003 Southern California Fires,"Old Fire and Grand Prix Fire (October 29, 30, 31, 2003) - All Schools","October 30 and 31, 2003",2003,2,3.67505E+13,San Bernardino
Community Day,Lucerne Valley Unified,2007-08,7,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Lucerne Valley Career Academy,Lucerne Valley Unified,2007-08,70,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Lucerne Valley Community Day,Lucerne Valley Unified,2003-04,7,Wildfires,2003 Southern California Fires,"Old Fire and Grand Prix Fire (October 29, 30, 31, 2003) - All Schools","October 30 and 31, 2003",2003,2,3.67505E+13,San Bernardino
Lucerne Valley Community Day,Lucerne Valley Unified,2007-08,8,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Lucerne Valley Elementary,Lucerne Valley Unified,2003-04,475,Wildfires,2003 Southern California Fires,"Old Fire and Grand Prix Fire (October 29, 30, 31, 2003) - All Schools","October 30 and 31, 2003",2003,2,3.67505E+13,San Bernardino
Lucerne Valley Elementary,Lucerne Valley Unified,2007-08,552,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Lucerne Valley High,Lucerne Valley Unified,2003-04,306,Wildfires,2003 Southern California Fires,"Old Fire and Grand Prix Fire (October 29, 30, 31, 2003) - All Schools","October 30 and 31, 2003",2003,2,3.67505E+13,San Bernardino
Lucerne Valley High,Lucerne Valley Unified,2007-08,332,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Lucerne Valley Middle,Lucerne Valley Unified,2003-04,162,Wildfires,2003 Southern California Fires,"Old Fire and Grand Prix Fire (October 29, 30, 31, 2003) - All Schools","October 30 and 31, 2003",2003,2,3.67505E+13,San Bernardino
Lucerne Valley Middle,Lucerne Valley Unified,2007-08,192,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Mountain View High,Lucerne Valley Unified,2003-04,31,Wildfires,2003 Southern California Fires,"Old Fire and Grand Prix Fire (October 29, 30, 31, 2003) - All Schools","October 30 and 31, 2003",2003,2,3.67505E+13,San Bernardino
Mountain View High,Lucerne Valley Unified,2007-08,15,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Sky Mountain Charter,Lucerne Valley Unified,2007-08,500,Wildfires,2007 Southern California Fires,smoke resulting from the Slide Fire/Green Valley Fire in the San Bernardino Mountains,26-Oct-07,2007,1,3.67505E+13,San Bernardino
Gould Educational Center,Madera County Office of Education,2014-15,324,Wildfires,Other Wildfires,Wildfires,"August 19-20, 2014 and September 15, 2014",2014,3,,Madera
Gould Educational Center,Madera County Superintendent of Schools,2017-18,339,Wildfires,Railroad Fire 2017,Madera county fires - State of Emergency,"September 5-8, 2017",2017,4,2.01021E+13,Madera
Manton Elementary,Manton Joint Union Elementary,2012-13,37,Wildfires,Other Wildfires,Wildfire and subsequent evacuations within school district area. School was also used for an initial evacuation area.,"August 20-24, 2012, and August 27, 2012",2012,6,,Tehama
Manzanita Elementary,Manzanita Elementary,2018-19,317,Wildfires,Camp Fire 2018,2018 Wildfires-Camp Fire-State of Emergency,"November 9, 13-16, and 26-30, 2018",2018,10,4.615E+12,Butte
Marcum-Illinois Union Elementary,Marcum-Illinois Union Elementary,2018-19,177,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.17141E+13,Sutter
Marin County Juvenile Court,Marin County Office of Education,2017-18,9,Wildfires,2017 Wine Country Fires,North bay fires caused residential and staffing impact.,"October 9-13, 2017",2017,5,,Marin
Marin County Special Education,Marin County Office of Education,2017-18,201,Wildfires,2017 Wine Country Fires,North bay fires caused residential and staffing impact.,"October 9-13, 2017",2017,5,,Marin
Marin's Community,Marin County Office of Education,2017-18,67,Wildfires,2017 Wine Country Fires,North bay fires caused residential and staffing impact.,"October 9-13, 2017",2017,5,,Marin
Phoenix Academy,Marin County Office of Education,2017-18,6,Wildfires,2017 Wine Country Fires,North bay fires caused residential and staffing impact.,"October 9-13, 2017",2017,5,,Marin
Cathey's Valley Elementary,Mariposa County Unified,2004-05,81,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,,Mariposa
Coulterville High,Mariposa County Unified,2004-05,7,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Coulterville-Greeley Elementary,Mariposa County Unified,2004-05,99,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Jesse B. Fremont Community Day,Mariposa County Unified,2004-05,7,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Lake Don Pedro Elementary,Mariposa County Unified,2004-05,218,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Mariposa County High,Mariposa County Unified,2004-05,711,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Mariposa Elementary,Mariposa County Unified,2004-05,340,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Mariposa Middle,Mariposa County Unified,2004-05,312,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Spring Hill High (Continuation),Mariposa County Unified,2004-05,55,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Woodland Elementary,Mariposa County Unified,2004-05,410,Wildfires,Other Wildfires,Fire behind Mariposa High School and transportation department where all buses are kept. Transportation service interrupted and air quality was extremely poor due to heavy smoke at Mariposa and Cathey's Valley area schools. High school site was used as a base for emergency equipment and personnel.,"September 13 and 14, 2004",2004,2,2.26553E+13,Mariposa
Copperopolis Elementary,Mark Twain Union Elementary,2015-16,277,Wildfires,Butte Fire 2015,Butte Fire,"September 14-18, 2015",2015,5,5.61573E+12,Calaveras
Mark Twain Elementary,Mark Twain Union Elementary,2015-16,527,Wildfires,Butte Fire 2015,Butte Fire,"September 14-18, 2015",2015,5,5.61573E+12,Calaveras
John B. Riebli Elementary,Mark West Union Elementary,2017-18,455,Wildfires,2017 Wine Country Fires,Tubbs fire caused smoke damage to schools as well as many students/staff lost or had damaged homes.,"October 9-13, 16-20, 23-27, 2017",2017,15,4.97081E+13,Sonoma
John B. Riebli Elementary,Mark West Union Elementary,2018-19,442,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97081E+13,Sonoma
Mark West Charter,Mark West Union Elementary,2017-18,120,Wildfires,2017 Wine Country Fires,Tubbs fire caused smoke damage to schools as well as many students/staff lost or had damaged homes.,"October 9-13, 16-20, 23-27, 2017",2017,15,4.97081E+13,Sonoma
Mark West Charter,Mark West Union Elementary,2018-19,122,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97081E+13,Sonoma
Mark West Elementary,Mark West Union Elementary,2017-18,441,Wildfires,2017 Wine Country Fires,"Tubbs Fire, students lost homes, schools had smoke damage","October 9-13, 16-20, 23-27, 2017",2017,15,4.97081E+13,Sonoma
Mark West Elementary,Mark West Union Elementary,2018-19,438,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97081E+13,Sonoma
San Miguel Elementary,Mark West Union Elementary,2017-18,439,Wildfires,2017 Wine Country Fires,Tubbs fire caused smoke damage to schools as well as many students/staff lost or had damaged homes.,"October 9-13, 16-20, 23-27, 2017",2017,15,4.97081E+13,Sonoma
San Miguel Elementary,Mark West Union Elementary,2018-19,438,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 9 and 13, 2018",2018,2,4.97081E+13,Sonoma
Alhambra Senior High,Martinez Unified,2017-18,1185,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.61739E+12,Contra Costa
Alhambra Senior High,Martinez Unified,2018-19,1232,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.61739E+12,Contra Costa
Briones (Alternative),Martinez Unified,2017-18,52,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.61739E+12,Contra Costa
Briones (Alternative),Martinez Unified,2018-19,63,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.61739E+12,Contra Costa
John Muir Elementary,Martinez Unified,2017-18,433,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.6174E+12,Contra Costa
John Muir Elementary,Martinez Unified,2018-19,434,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.6174E+12,Contra Costa
John Swett Elementary,Martinez Unified,2017-18,515,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.6174E+12,Contra Costa
John Swett Elementary,Martinez Unified,2018-19,512,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.6174E+12,Contra Costa
Las Juntas Elementary,Martinez Unified,2017-18,375,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.6174E+12,Contra Costa
Las Juntas Elementary,Martinez Unified,2018-19,355,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.6174E+12,Contra Costa
Martinez Junior High,Martinez Unified,2017-18,1017,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.6174E+12,Contra Costa
Martinez Junior High,Martinez Unified,2018-19,966,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.6174E+12,Contra Costa
Morello Park Elementary,Martinez Unified,2017-18,509,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.6174E+12,Contra Costa
Morello Park Elementary,Martinez Unified,2018-19,514,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.6174E+12,Contra Costa
Vicente Martinez High,Martinez Unified,2017-18,74,Wildfires,2017 Wine Country Fires,North Bay fires-unhealthy air quality,"October 12-13, 2017",2017,2,7.61739E+12,Contra Costa
Vicente Martinez High,Martinez Unified,2018-19,75,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,16-Nov-18,2018,1,7.61739E+12,Contra Costa
Anna McKenney Intermediate,Marysville Joint Unified,2018-19,617,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Arboga Elementary,Marysville Joint Unified,2018-19,479,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Browns Valley Elementary,Marysville Joint Unified,2017-18,174,Wildfires,Cascade Fire 2017,"Cascade, Oregon House fire","October 9-13, 2017 ",2017,5,5.87274E+13,Yuba
Browns Valley Elementary,Marysville Joint Unified,2018-19,175,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Cedar Lane Elementary,Marysville Joint Unified,2018-19,558,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Cordua Elementary,Marysville Joint Unified,2018-19,112,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Covillaud Elementary,Marysville Joint Unified,2018-19,509,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Dobbins Elementary,Marysville Joint Unified,2017-18,42,Wildfires,Cascade Fire 2017,"Cascade, Oregon House fire","October 9-13, 2017 ",2017,5,5.87274E+13,Yuba
Dobbins Elementary,Marysville Joint Unified,2018-19,39,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Edgewater Elementary,Marysville Joint Unified,2018-19,482,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Ella Elementary,Marysville Joint Unified,2018-19,608,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Foothill Intermediate,Marysville Joint Unified,2017-18,210,Wildfires,Cascade Fire 2017,"Cascade, Oregon House fire","October 9-13 and 16, 2017",2017,6,5.87274E+13,Yuba
Foothill Intermediate,Marysville Joint Unified,2018-19,237,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Johnson Park Elementary,Marysville Joint Unified,2018-19,393,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Kynoch Elementary,Marysville Joint Unified,2018-19,719,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Linda Elementary,Marysville Joint Unified,2018-19,659,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Lindhurst High,Marysville Joint Unified,2018-19,1143,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Loma Rica Elementary,Marysville Joint Unified,2017-18,103,Wildfires,Cascade Fire 2017,"Cascade, Oregon House fire","October 9-13 and 16, 2017",2017,6,5.87274E+13,Yuba
Loma Rica Elementary,Marysville Joint Unified,2018-19,103,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Marysville Charter Academy for the Arts,Marysville Joint Unified,2018-19,400,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Marysville Community Day,Marysville Joint Unified,2018-19,72,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Marysville High,Marysville Joint Unified,2017-18,924,Wildfires,Cascade Fire 2017,"Cascade, Oregon House fire","October 9-13, 2017 ",2017,5,5.87274E+13,Yuba
Marysville High,Marysville Joint Unified,2018-19,938,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Olivehurst Elementary,Marysville Joint Unified,2018-19,499,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
South Lindhurst Continuation High,Marysville Joint Unified,2018-19,107,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Yuba Feather Elementary,Marysville Joint Unified,2017-18,132,Wildfires,Cascade Fire 2017,"Cascade, Oregon House fire","October 9-13, 2017 ",2017,5,5.87274E+13,Yuba
Yuba Feather Elementary,Marysville Joint Unified,2018-19,123,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Yuba Gardens Intermediate,Marysville Joint Unified,2018-19,781,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,"November 15-16, 2018",2018,2,5.87274E+13,Yuba
Maxwell Elementary,Maxwell Unified,2018-19,168,Wildfires,Camp Fire 2018,2018 Wild Fire-Camp Fire-Air Quality,"November 16, 19-20, 2018",2018,3,6.61607E+12,Colusa
Maxwell Middle,Maxwell Unified,2018-19,71,Wildfires,Camp Fire 2018,2018 Wild Fire-Camp Fire-Air Quality,"November 16, 19-20, 2018",2018,3,6.61606E+12,Colusa
Maxwell Sr High,Maxwell Unified,2018-19,101,Wildfires,Camp Fire 2018,2018 Wild Fire-Camp Fire-Air Quality,"November 16, 19-20, 2018",2018,3,6.61606E+12,Colusa
Mendocino County Community,Mendocino County Office of Education,2017-18,57,Wildfires,2017 Wine Country Fires,Redwood Valley Fires-State of Emergency,"October 9-13, 2017",2017,5,,Mendocino
Mendocino County Community,Mendocino County Office of Education,2018-19,51,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,9-Nov-18,2018,1,,Mendocino
Orr Creek,Mendocino County Office of Education,2017-18,8,Wildfires,2017 Wine Country Fires,Redwood Valley Fires-State of Emergency,"October 9-13, 2017",2017,5,,Mendocino
Orr Creek,Mendocino County Office of Education,2018-19,9,Wildfires,Camp Fire 2018,2018 Wildfires - Camp Fire - Air Quality,9-Nov-18,2018,1,,Mendocino
West Hills Juvenile Hall Court,Mendocino County Office of Education,2017-18,5,Wildfires,2017 Wine Country Fires,Redwood Valley Fires-State of Emergency,"October 9-13, 2017",2017,5,,Mendocino
Bell Mountain Middle,Menifee Union Elementary,2007-08,1579,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Bell Mountain Middle,Menifee Union Elementary,2017-18,1245,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Bell Mountain Middle,Menifee Union Elementary,2018-19,1204,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Callie Kirkpatrick Elementary,Menifee Union Elementary,2007-08,861,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Callie Kirkpatrick Elementary,Menifee Union Elementary,2017-18,692,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Callie Kirkpatrick Elementary,Menifee Union Elementary,2018-19,723,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Chester W. Morrison Elementary,Menifee Union Elementary,2007-08,519,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Chester W. Morrison Elementary,Menifee Union Elementary,2017-18,422,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Chester W. Morrison Elementary,Menifee Union Elementary,2018-19,408,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Evans Ranch Elementary,Menifee Union Elementary,2007-08,620,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Evans Ranch Elementary,Menifee Union Elementary,2017-18,658,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Evans Ranch Elementary,Menifee Union Elementary,2018-19,662,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Freedom Crest Elementary,Menifee Union Elementary,2007-08,997,Wildfires,2007 Southern California Fires,2007 southern California fire,26-Oct-07,2007,1,3.36712E+13,Riverside
Freedom Crest Elementary,Menifee Union Elementary,2017-18,727,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Freedom Crest Elementary,Menifee Union Elementary,2018-19,716,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Hans Christensen Middle,Menifee Union Elementary,2017-18,781,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Hans Christensen Middle,Menifee Union Elementary,2018-19,780,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Harvest Hill S.T.E.A.M. Academy,Menifee Union Elementary,2017-18,598,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
Harvest Hill S.T.E.A.M. Academy,Menifee Union Elementary,2018-19,741,Wildfires,Holy Fire 2018,Holy Fire - Wildfire - State of Emergency,"August 9-10, 2018",2018,2,3.36712E+13,Riverside
Herk Bouris Elementary,Menifee Union Elementary,2017-18,964,Wildfires,2017 Southern California Fires,Wildfire-State of Emergency,8-Dec-17,2017,1,3.36712E+13,Riverside
